video_id,comment_id,comment_type,parent_comment_id,collected_at,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,comment_text_display,comment_text_original,comment_text_length,like_count,reply_count,moderation_status,published_at,updated_at,viewer_rating,can_rate,sentiment_score,sentiment_category,subjectivity_score,brand_mentions,competitor_mentions,analyzed_at
RgR0HZcKRpM,UgyA-Lzym8_qZvb66yd4AaABAg.AMwNWUTLjL2ANPhe7AR_L8,reply,UgyA-Lzym8_qZvb66yd4AaABAg,2025-10-12T13:08:51.035192,@SMTSOFIAA,https://yt3.ggpht.com/ytc/AIdro_l_cdb12iEvfbconWqKW89iqSh69jL-NdmjZIuXCkr9Yg3iLzKFdf8SG32lYrR3AmrM9A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SMTSOFIAA,UCOAvw2VQ8c6uT13cfECXcQg,"impossible, they&#39;re only develop on HDR10+. But I still choose Samsung cuz I use with Samsung sound bar for Q-Symphony feature. The sound quality is impeccable.","impossible, they're only develop on HDR10+. But I still choose Samsung cuz I use with Samsung sound bar for Q-Symphony feature. The sound quality is impeccable.",164,3,0,,2025-09-23T10:00:21Z,2025-09-28T05:18:27Z,none,True,0.588,positive,0.71,samsung,,2025-10-12T13:08:58.499973
RgR0HZcKRpM,UgyA-Lzym8_qZvb66yd4AaABAg.AMwNWUTLjL2ANa9MV9mJfu,reply,UgyA-Lzym8_qZvb66yd4AaABAg,2025-10-12T13:08:51.035192,@SteveSmith-cm1hx,https://yt3.ggpht.com/ytc/AIdro_lWhQMd_mMoTZCSPLIPthWtnu2saE9USeXTJpSMV1WfvhQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SteveSmith-cm1hx,UCZNUKzgiiIVXoM05uTSxVYg,Will never happen. HDR 10+ is all you need.,Will never happen. HDR 10+ is all you need.,43,1,0,,2025-09-27T20:42:52Z,2025-09-27T20:42:52Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:08:58.499973
RgR0HZcKRpM,Ugx-eSqbfAOKKtL6GU94AaABAg,top_level,,2025-10-12T13:08:51.035192,@AlfredNkosha,https://yt3.ggpht.com/ytc/AIdro_k489dbUjVHiavMXCVBLGMHjuZ1MbGhFgMATRJyE25ZAk1KhQl3s6Hf7REnBDXFhbKjBA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AlfredNkosha,UCNQdOyfQMpcaA12MnpDjP_A,It looks thin🥲 and so smooth,It looks thin🥲 and so smooth,28,31,0,,2025-09-11T01:05:58Z,2025-09-11T01:05:58Z,none,True,0.0,neutral,0.675,,,2025-10-12T13:08:58.499973
RgR0HZcKRpM,UgzbTkJRts7VCLMMgq94AaABAg,top_level,,2025-10-12T13:08:51.035192,@TonoSegoviasoto,https://yt3.ggpht.com/0QQURD_H2qMIqPfwcjV2bQG2llbwx0ahORMLcrHZCvZKyb31VOsZ2wVQ2x8uZP8DmLPZ31s2=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TonoSegoviasoto,UCm44YUxPrK6qzFl2SHIJA5w,Hola samsung yo tengo uno de sus telefonos y se me a caido como 8 veces y todavia sigue funsionando la verdad la mejor marca que e comprado en toda mi vida,Hola samsung yo tengo uno de sus telefonos y se me a caido como 8 veces y todavia sigue funsionando la verdad la mejor marca que e comprado en toda mi vida,155,11,0,,2025-09-11T04:07:46Z,2025-09-11T04:07:46Z,none,True,0.0,neutral,0.0,samsung,,2025-10-12T13:08:58.499973
RgR0HZcKRpM,UgwZIxyQoETFogj2-F54AaABAg,top_level,,2025-10-12T13:08:51.035192,@俊霖陳-k7x,https://yt3.ggpht.com/ytc/AIdro_l3Bz6doyOqmxnbxC7YTPEYDkB4EqydIAMsbEUjvC3cQlxG46o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@%E4%BF%8A%E9%9C%96%E9%99%B3-k7x,UCrvWmWEmRE-On69tY0XJVQw,我愛三星電視❤,我愛三星電視❤,7,6,0,,2025-09-11T04:56:02Z,2025-09-11T04:56:02Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:08:58.500970
RgR0HZcKRpM,Ugz1vwHCz8GU0Umnved4AaABAg,top_level,,2025-10-12T13:08:51.035192,@gtau-y4s,https://yt3.ggpht.com/sUbqLx5_Jj52ahZVEdqmUUqL4ASd7FGAt2c4TcQH97KxuvlUhJokJa1mVEhePuwSaI3RC4xW8w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gtau-y4s,UCwjNdokDvwCgBK6CfY4kJzQ,Amazing,Amazing,7,11,0,,2025-09-11T01:04:18Z,2025-09-11T01:04:18Z,none,True,0.8,positive,0.9,,,2025-10-12T13:08:58.500970
RgR0HZcKRpM,UgwglX_9JUn5zAvleoN4AaABAg,top_level,,2025-10-12T13:08:51.035192,@g.vlachos945,https://yt3.ggpht.com/WR1PHxvorS8fc33TJ1f9-sE3Vw_aYNS_7UYT6HfTRm7xTk-MvC_YNGOxhKhNyhr3J3WyVx_bDxc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@g.vlachos945,UCuL4PRj_JDMFfeU7Z9VWbfw,One high tech computer for our eyes. Samsung!🔴🔵,One high tech computer for our eyes. Samsung!🔴🔵,47,3,0,,2025-09-11T03:52:07Z,2025-09-11T03:52:33Z,none,True,0.1,neutral,0.54,samsung,,2025-10-12T13:08:58.500970
RgR0HZcKRpM,Ugzc7ddqjNL00tfjEQt4AaABAg,top_level,,2025-10-12T13:08:51.035192,@abhisek330,https://yt3.ggpht.com/ytc/AIdro_ns3uSpzxsnzT2VJKagHa7AgVizU744F_v96KpJx5joDAM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@abhisek330,UCjmcIi-pxH4SbkTZg6dV-0g,That background music is awesome,That background music is awesome,32,3,0,,2025-09-11T19:38:06Z,2025-09-11T19:38:06Z,none,True,1.0,positive,1.0,,,2025-10-12T13:08:58.501969
RgR0HZcKRpM,UgwXmBtyLBRGd-APzUZ4AaABAg,top_level,,2025-10-12T13:08:51.035192,@MKHpetualang,https://yt3.ggpht.com/nBWD3gpTYJtHkeWXfv3ytHT_9iGZIJVtq0fIuEuxQnA8-ZZNP-FtwtR2otbk11U6VIlQ3IJaLw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@MKHpetualang,UC8MgOdgx5wITGps8D6fo11A,"Waaaw fantastis, saya suka😮","Waaaw fantastis, saya suka😮",27,7,0,,2025-09-11T01:41:44Z,2025-09-11T01:41:44Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:08:58.501969
RgR0HZcKRpM,Ugyhhh_m8DLdn203zVl4AaABAg,top_level,,2025-10-12T13:08:51.035192,@BATTALGOGG,https://yt3.ggpht.com/WPsUcNXtgpgaAe2HxNE24Ck6vX8xJ6clOTIUsb3C9P0LyRllC0I4s68LEmQ3x5T7ZIXW0Eii5A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BATTALGOGG,UCt2FgxqgNoQAMo-dHrq_dWw,I love it,I love it,9,10,0,,2025-09-11T01:04:25Z,2025-09-11T01:04:25Z,none,True,0.75,positive,0.6,,,2025-10-12T13:08:58.501969
